"key","value"
"generated_at","2026-06-05 12:27:07 +0200"
"script","/home/jonas/Files/research/misskappa/experiments/20-alpha-nt-fiml-stress/run_experiment.R"
"smoke","FALSE"
"reps","200"
"n","100"
"dgps","gauss_balanced,gauss_skew,class_skew,anchor_heterocov"
"mechanisms","mcar30,mar_linear30,mar_lowgate45"
"methods","pairwise,cat_fiml,normal_fiml,listwise"
"seed_base","20200620"
"elapsed_seconds","445.835"
"stress_question","Does normal FIML stay nearly unbiased for scored ordinal MAR after skewed margins, a latent-class ordinal DGP, and nonlinear anchor-dependent missingness?"
"misskappa_version","2.0.0"
"r_version","R version 4.5.2 (2025-10-31)"
